date,Hyle Alpha I,Sleeve A (standalone),Sleeve B (standalone),SPY
2021-05-12,1.0,1.0,1.0,
2021-05-13,1.0,1.0,1.0,1.012012530524654
2021-05-14,1.0,1.0,1.0,1.02755235440665
2021-05-17,1.0,1.0,1.0,1.0249377173725365
2021-05-18,1.0,1.0,1.0,1.0161071507856245
2021-05-19,1.0,1.0,1.0,1.0134431809772824
2021-05-20,1.0,1.0,1.0,1.024345724081794
2021-05-21,1.0,1.0,1.0,1.0235070669199084
2021-05-24,1.0,1.0,1.0,1.0339409486692486
2021-05-25,1.0,1.0,1.0,1.0316469746676207
2021-05-26,1.0,1.0,1.0,1.0336942847981059
2021-05-27,1.0,1.0,1.0,1.03423694531462
2021-05-28,1.0,1.0,1.0,1.036086924348191
2021-06-01,1.0,1.0,1.0,1.0351742680249625
2021-06-02,1.0,1.0,1.0,1.0368022495745048
2021-06-03,1.0,1.0,1.0,1.0329542931846774
2021-06-04,1.0,1.0,1.0,1.0424015194494465
2021-06-07,1.0,1.0,1.0,1.0413901975777609
2021-06-08,1.0,1.0,1.0,1.0416121950617894
2021-06-09,1.0,1.0,1.0,1.0400582126735898
2021-06-10,1.0,1.0,1.0,1.0448928245479887
2021-06-11,1.0,1.0,1.0,1.0466194716459882
2021-06-14,1.0,1.0,1.0,1.0489627784218447
2021-06-15,1.0,1.0,1.0,1.0470388002269309
2021-06-16,1.0,1.0,1.0,1.0411928664808467
2021-06-17,1.0,1.0,1.0,1.0408475370612469
2021-06-18,1.0,1.0,1.0,1.0234577341456799
2021-06-21,1.0,1.0,1.0,1.0381095680915617
2021-06-22,1.0,1.0,1.0,1.0436595051922746
2021-06-23,1.0,1.0,1.0,1.0424015194494463
2021-06-24,1.0,1.0,1.0,1.0485681162280163
2021-06-25,1.0,1.0,1.0,1.0522927406822724
2021-06-28,1.0,1.0,1.0,1.0544140499741006
2021-06-29,1.0,1.0,1.0,1.054981376877729
2021-06-30,1.0,1.0,1.0,1.055869366813843
2021-07-01,1.0,1.0,1.0,1.0617153005599274
2021-07-02,1.0,1.0,1.0,1.0698305419205254
2021-07-06,1.0,1.0,1.0,1.0678818973384974
2021-07-07,1.0,1.0,1.0,1.071655854566982
2021-07-08,1.0,1.0,1.0,1.0629239535285273
2021-07-09,1.0,1.0,1.0,1.0742704916010957
2021-07-12,1.0,1.0,1.0,1.0781184479909234
2021-07-13,1.0,1.0,1.0,1.0744431563108958
2021-07-14,1.0,1.0,1.0,1.076046471473324
2021-07-15,1.0,1.0,1.0,1.0723711797932962
2021-07-16,1.0,1.0,1.0,1.063959941787327
2021-07-19,1.0,1.0,1.0,1.048247453195531
2021-07-20,1.0,1.0,1.0,1.0632692829481272
2021-07-21,1.0,1.0,1.0,1.0718778520510106
2021-07-22,1.0,1.0,1.0,1.0741224932784101
2021-07-23,1.0,1.0,1.0,1.0851730347056074
2021-07-26,1.0,1.0,1.0,1.0878370045139496
2021-07-27,1.0,1.0,1.0,1.0828790607039795
2021-07-28,1.0,1.0,1.0,1.0824350657359225
2021-07-29,1.0,1.0,1.0,1.0869243481907214
2021-07-30,1.0,1.0,1.0,1.0816457413482656
2021-08-02,1.0,1.0,1.0,1.079376433733752
2021-08-03,1.0,1.0,1.0,1.0881576675464355
2021-08-04,1.0,1.0,1.0,1.082805061542637
2021-08-05,1.0,1.0,1.0,1.0896623171604065
2021-08-06,1.0,1.0,1.0,1.091462963419749
